src,dst
78641,172696
36888,143764
100729,194956
119060,138640
51404,122419
136036,26028
2010,136832
215041,208592
5790,135607
88159,202594
85848,182115
45253,136729
124725,199241
57227,89363
198973,21098
51633,194554
52849,136469
18609,138913
125772,68797
188960,11822
195814,198842
75451,42150
172696,78641
136036,26028
171137,115432
32652,215530
26582,51853
195716,164520
176089,1199
75451,131163
162458,218282
34265,89655
163735,112551
18609,138913
97049,191276
128736,152617
23165,73439
197601,63562
49708,50569
132066,179686
79891,212096
42580,187782
18247,129467
174651,52279
169132,131890
17532,142360
138640,197140
128451,32652
96647,59705
68797,125772
212715,152947
148181,109798
50569,178764
60416,2043
195716,164520
215530,32652
73439,23165
107577,135301
73950,20311
162625,153912
138913,176006
130438,137356
139343,95116
63364,181613
122419,51404
63235,90805
67755,64808
215530,24869
189201,74411
138913,18609
1917,182822
152617,128736
176714,44314
10129,117287
164520,195716
118950,150606
193483,110403
32678,189690
182115,85848
182067,199241
876,49708
171137,63990
131890,206896
199076,199241
208805,205919
172736,51374
51374,172736
40247,58682
172574,44314
139343,51066
67657,2043
137356,130438
172128,108520
172128,108520
178437,112130
53653,22200
7931,63381
128426,72689
128736,172696
42150,111568
162458,218282
46082,12874
74411,5379
190125,57484
128736,172696
198140,92769
73950,20311
40952,37000
162625,153912
124725,199241
62134,2450
178437,81881
75921,151911
82538,173774
179489,87708
82347,183784
131890,206896
130438,137356
138157,27380
106043,9462
34753,33764
178743,162522
26028,37426
213907,179001
74866,11822
8299,128451
63562,78641
111570,195716
131890,204282
129320,6530
27704,18552
189442,99678
157946,173171
113558,97931
41506,187782
17409,78701
113686,196748
36636,394
217638,185847
138157,92790
83726,140407
35343,159430
182822,184533
18609,138913
111742,40651
1917,182822
206704,20754
158805,127043
189212,39985
183661,119155
78641,63562
75451,42150
137356,130438
111570,45253
202061,139006
147540,152617
149247,182261
20754,65577
184617,131278
64808,18552
14525,83964
99643,152947
172736,183280
171333,153441
75451,131163
73950,109996
95305,116500
136149,67214
15017,128171
75869,125012
58775,113887
28941,117631
86557,118228
59799,2450
74411,189201
182261,94499
19966,122095
41500,157655
180440,137277
137277,208997
171137,63990
125222,15999
46248,172696
7016,43540
69976,16529
169132,206704
215818,155149
85848,21678
53653,22200
64808,18552
121997,128451
9737,117197
95116,12874
7746,82347
57044,188876
112865,21098
121771,73950
137356,130438
182822,1917
190631,92871
153328,207015
33554,189212
110403,182067
171137,45486
57227,35343
136036,109948
182822,166469
58775,50888
58775,50888
138745,83882
27428,132228
73439,23165
188195,32867
146559,163826
28425,201244
152617,6290
157946,173171
111742,195073
202141,136149
125772,35821
177036,182822
6951,63990
45253,152022
89655,155141
94499,182261
111327,112689
16529,69976
182067,129701
43160,81834
43160,27417
99505,15421
15421,172736
193483,110403
15274,177036
138640,119060
183633,83934
77908,93689
152617,147540
192060,2010
15882,166564
25511,209165
169852,165426
128081,188960
25092,162522
20260,40651
112239,172736
99344,16573
35913,21098
162458,37000
162458,37000
186340,41410
154852,29177
139403,116430
215530,79083
7024,162522
219321,217499
177753,172696
216749,15517
128989,73039
180440,208997
146559,163826
45253,136729
74411,114338
34265,57227
41426,111742
139343,116459
189212,39985
182822,177036
174094,6560
37542,182067
45486,171137
131163,75451
96511,73950
40702,135301
94838,45199
18660,73950
41314,179686
130438,137356
40247,43990
73950,154730
94499,182261
60338,191723
79789,164328
148859,182067
177036,184533
163735,192848
15517,216749
16573,99344
103244,162625
36455,44433
162625,146055
145487,168530
104674,43990
15597,180440
111705,201325
92790,61195
183491,18688
45486,171137
165604,86695
27414,43160
216749,15517
122095,19966
159430,4000
73439,23165
154852,10178
49361,154852
113887,58775
147610,44314
124725,20743
155340,44314
1917,182822
44861,196810
84008,69324
16573,99344
185234,177825
172696,204282
180440,208997
10748,137356
184533,182822
99344,16573
201325,111705
23087,136036
52048,95116
172696,57227
73950,20311
162522,178743
40542,154852
154852,105642
116334,216099
132889,217062
126410,20311
199517,109012
136036,35821
34265,48052
51585,137277
193483,110403
164328,78985
94290,126361
205739,153275
112865,49708
92790,61195
146055,162625
121997,128451
53653,124628
176089,113569
61195,92790
39985,94282
112689,111327
41426,111742
41426,111742
876,138855
50569,162625
119418,124279
9436,16910
181071,9737
68394,157476
34265,95116
1367,197146
177825,185234
182822,184533
86557,93559
20647,180440
152158,6458
53653,22200
149247,25393
86490,43218
193483,110403
32065,45253
208997,7402
45253,159478
72786,20048
64636,123096
71598,26461
11163,129856
111705,201325
49364,167703
161287,136469
161405,142360
47358,2223
59799,123283
152617,157790
95116,111216
194787,126929
215818,180320
125772,35821
46670,130074
190212,193735
104244,5657
85848,78641
172574,159534
172574,44314
159534,172574
147610,44314
132398,162625
70791,146169
193483,110403
212355,95753
11822,32065
78641,85848
6290,181613
182825,107256
183661,122927
122927,183661
146055,110027
199241,38006
38006,163600
43540,60263
192283,169132
57227,186751
204268,177613
207868,63461
194118,183784
189212,94282
206856,183491
195177,74411
139242,36135
20743,124725
89544,50569
53653,119552
127935,88855
141160,74672
202061,139006
110714,12139
39985,189212
178093,138745
58775,113887
116065,51853
188960,128081
131890,31952
30714,102347
187508,171748
192258,137356
172696,177753
2223,47358
145487,215530
188960,128413
35821,125772
109948,67048
27380,61195
82347,194118
153912,186590
88229,181613
80732,163119
184617,125772
91564,131558
120448,13340
71419,216398
138150,117287
27417,43160
158478,78205
123048,179686
90000,176089
57227,35182
15691,182822
135807,145766
98227,12844
59965,152617
11822,10080
181395,165391
182553,30312
152938,74206
63941,135607
137277,10841
32065,178217
176089,113569
16573,99344
131890,112865
193483,110403
129819,16290
138640,119060
120951,45253
104002,166303
107950,41314
91564,131558
121604,91564
180440,208997
16290,138579
111742,178217
70566,217329
188960,128413
99344,16573
93559,86557
88855,102611
136031,128451
39985,189212
39985,189212
138579,166008
14949,137961
212096,89645
216749,87394
43911,45079
24376,20311
104590,24557
27380,61195
174957,182261
206704,136036
202273,162458
57227,35182
192258,137356
95116,35182
36455,145636
36455,145636
41500,176378
11822,10080
183784,194118
16529,121997
141100,61465
179686,123048
78205,158478
132735,176089
102347,30714
18434,50569
111742,41426
150421,146441
194118,183784
211666,181879
113443,122328
199076,199241
214187,2450
60397,9737
35343,159430
30768,135907
163217,20311
172574,44314
81663,86935
59705,2010
182067,148859
136036,6530
172696,209570
154100,43320
194118,82347
69976,95766
57823,98733
164676,202594
7988,23830
211666,88788
99793,150619
37000,72980
177613,204268
45079,43911
43320,154100
14060,111570
49708,138855
17409,154696
162458,202273
16290,190976
88855,107821
14949,39985
14949,39985
154100,43320
190458,138157
30714,183148
10748,137356
13001,162458
163217,20311
112689,45486
107256,182825
99344,16573
163632,35913
30312,182553
87394,216749
201912,215003
45334,61169
113443,181613
82347,183784
182115,199076
136036,119322
128451,88130
138579,52145
73950,74672
18709,150110
149247,40528
188960,128413
36086,188674
177074,89655
203297,211666
127352,59799
95116,12874
55153,43012
17409,154696
31952,95116
190212,164328
201662,34753
43320,154100
184205,171763
116065,51853
194695,35913
53767,23165
30714,1008
166200,185847
68228,136036
204268,177613
41314,196725
196725,137961
153328,138579
171137,63990
16573,137356
16573,137356
39985,189212
60338,83369
74672,73950
37000,9244
91564,131558
154100,43320
45253,120951
2010,59705
95116,175934
189212,14949
16529,128451
35913,146656
76595,58775
95116,35182
109566,140623
102347,30714
88130,128451
146169,70791
132343,90172
16529,128451
34753,41506
154100,43320
113558,135179
179686,41314
7988,23830
20048,134719
129639,190212
39985,189212
154100,43320
190458,66257
203601,154100
178775,137277
131558,91564
73950,74672
74672,73950
1008,183148
43320,154100
39985,178217
154100,43320
41314,107950
154100,156209
69976,150421
184533,166469
43320,154100
114919,86557
172696,31952
114919,86557
39985,189212
43739,181879
204268,177613
45334,61169
9890,109239
122927,163600
138640,119060
41314,107950
81834,27417
183661,183148
94429,149247
183056,3361
138745,178093
83369,110491
152895,150421
182261,103935
163976,173566
100612,876
7024,162522
142360,210635
119060,164746
169132,167656
61169,182115
138157,206328
182468,67048
98227,12844
9737,182558
18709,150110
162134,36455
119060,138640
128451,16529
91928,98733
11327,162458
14949,189212
174094,109012
208269,161541
209864,78205
169132,167656
83488,147565
196822,89544
182261,102736
128451,154100
183661,81834
24376,20311
27741,8299
191826,45334
34753,41506
199076,182115
184533,166469
179489,23165
113558,89655
74126,109948
109948,25353
65713,37426
16573,45486
142360,8511
202273,213008
136036,109948
216099,110963
1917,159478
172696,72899
218013,35182
218013,35182
13118,182734
133794,56603
114919,86557
135114,183661
138855,154089
182261,174957
135380,182261
111742,41426
75451,23300
216749,182346
45199,205444
125772,194686
161632,109948
211666,181879
206253,62608
137356,130438
56603,133794
183784,82347
148147,181613
104678,207152
137250,146929
1008,183661
52145,39985
2223,47358
43934,7722
37000,9244
194603,95456
152938,74206
162522,142360
85697,213008
8511,142360
154100,43320
194695,35913
116334,216099
180440,87124
154100,43320
171137,76987
33554,149444
152617,121193
172736,99505
136036,68228
105942,111624
136031,114351
208269,153228
179686,196725
1917,159478
131558,91564
125222,105642
67048,109948
197146,163195
12844,20470
179489,23165
146929,119322
206497,146929
43160,27417
200368,191231
146169,70791
92790,35495
118401,194407
160204,93689
183784,82347
91564,121604
24269,211666
96511,73950
113887,58775
126929,40371
218013,35182
167703,49364
91928,98733
12844,215372
93689,128171
179489,23165
164746,138640
137356,128144
131890,112865
95116,208462
41426,111742
184883,111624
99793,216398
92790,16851
125012,24269
125012,24269
46135,118228
139721,173774
162134,36455
36455,9529
119322,136036
76987,171137
66231,171137
154100,132093
203615,136036
111742,166008
166008,138579
82347,183784
133370,181613
12528,110301
158366,13118
158366,13118
57227,134927
171137,146467
204268,58026
152617,202504
135179,163632
58775,161412
45253,29204
210635,161405
156517,71798
1981,215003
43911,4195
125136,182822
196725,179686
23914,56365
218013,35182
77824,84867
190212,129639
52145,189212
53688,5350
147610,176508
192835,5379
52145,179489
189212,52145
20470,12844
215003,1981
113558,215551
11495,187508
43320,154100
208615,29962
87708,154723
4195,14289
107821,88855
183297,110027
208997,211763
39985,52145
113443,181613
88229,181613
119060,138640
119060,138640
203615,136036
207355,20311
155539,143597
82347,201956
102611,107821
69862,209323
13118,72169
138579,55153
89544,172786
190458,66257
40952,55848
176006,71000
216099,36073
77917,211477
213008,202273
35495,92790
61195,27380
95116,218013
208462,139343
152617,112865
213008,85697
132343,90172
172072,104046
218013,35182
28153,45264
204213,57823
69976,146441
759,171300
25092,172444
69976,95766
89127,186116
132735,176089
80732,163119
204268,207903
51067,95116
6530,136036
69976,24376
118192,9737
162625,24869
146169,145680
43320,132093
22685,174094
137277,163721
139343,15323
213008,202273
82408,116500
13608,199774
74411,200630
208269,161541
75999,131558
10080,11822
154326,114338
92611,43320
171748,15671
5647,54770
16851,92790
2450,198554
17109,114919
159478,1917
113558,135179
158542,77245
179734,191601
12844,20470
15671,11495
92611,43320
114919,17109
141100,71591
92611,132093
123816,198295
132093,1893
9737,92277
63549,152152
138640,119060
130486,172696
37426,125967
12608,146929
20311,207355
146929,206497
149247,7183
192642,185234
55153,6530
162625,24869
130486,172696
152938,196545
54172,143590
154100,132093
68394,9184
197229,135661
16573,3192
34594,171137
139242,118108
98733,71841
137961,39985
186590,137961
203615,136036
64477,172696
87420,163735
119060,164746
41500,157655
11495,15671
182261,103935
119322,136031
119060,138640
138640,119060
37130,204213
141655,109948
156693,198295
5379,192835
202273,213008
164325,16573
199076,18434
115719,152947
37426,95456
53767,23165
146169,70791
47788,137356
122537,27380
92790,27380
198796,135415
135415,198796
73386,20743
184547,68232
170935,187577
17109,114919
114919,17109
189212,52145
13386,128451
137961,100270
69862,95116
27417,43160
19691,163735
151417,4195
137356,47788
74206,113558
69643,9244
208269,168705
177182,102611
161541,208269
87058,28233
20311,59730
75999,85848
75451,73309
171748,15671
194603,125967
184516,123536
76030,150542
25393,110367
20311,115573
216749,182346
162458,154220
63941,135607
114919,17109
109948,73335
27691,150110
95324,204268
111624,116204
15671,176755
141100,71591
199241,199076
190646,51945
88855,107821
116500,129819
99988,198952
99988,21678
92611,154100
152915,172072
119004,55337
76397,186591
139343,15323
208462,139343
134927,57227
199076,199241
83964,180249
108992,161545
138640,173171
31952,8820
152938,136036
11327,162458
194686,125772
78641,40483
34753,41506
107821,88855
73950,74672
28468,123536
141557,99505
15671,171748
176755,127517
7463,86935
137356,103244
17109,114919
67571,147012
55039,158471
74672,73950
182261,102736
